Id,MSZoning,LotArea,OverallQual,OverallCond,YearBuilt,ExterQual,TotalBsmtSF,GrLivArea,SalePrice
1,RL,8450,7,5,2003,Gd,856,1710,208500
2,RL,9600,6,8,1976,TA,1262,1262,181500
3,RL,11250,7,5,2001,Gd,920,1786,223500
4,RL,9550,7,5,1915,TA,756,1717,140000
5,RL,14260,8,5,2000,Gd,1145,2198,250000
6,RL,14115,5,5,1993,TA,796,1362,143000
7,RL,10084,8,5,2004,Gd,1686,1694,307000
8,RL,10382,7,6,1973,TA,1107,2090,200000
9,RM,6120,7,5,1931,TA,952,1774,129900
10,RL,7420,5,6,1939,TA,991,1077,118000
11,RL,11200,5,5,1965,TA,1040,1040,129500
12,RL,11924,9,5,2005,Ex,1175,2324,345000
13,RL,12968,5,6,1962,TA,912,912,144000
14,RL,10652,7,5,2006,Gd,1494,1494,279500
15,RL,10920,6,5,1960,TA,1253,1253,157000
16,RM,6120,7,8,1929,TA,832,854,132000
17,RL,11241,6,7,1970,TA,1004,1004,149000
18,RL,10791,4,5,1967,TA,0,1296,90000
19,RL,13695,5,5,2004,TA,1114,1114,159000
20,RL,7560,5,6,1958,TA,1029,1339,139000
21,RL,14215,8,5,2005,Gd,1158,2376,325300
22,RM,7449,7,7,1930,TA,637,1108,139400
23,RL,9742,8,5,2002,Gd,1777,1795,230000
24,RM,4224,5,7,1976,TA,1040,1060,129900
25,RL,8246,5,8,1968,TA,1060,1060,154000
26,RL,14230,8,5,2007,Gd,1566,1600,256300
27,RL,7200,5,7,1951,TA,900,900,134800
28,RL,11478,8,5,2007,Gd,1704,1704,306000
29,RL,16321,5,6,1957,TA,1484,1600,207500
30,RM,6324,4,6,1927,TA,520,520,68500
31,C (all),8500,4,4,1920,TA,649,1317,40000
32,RL,8544,5,6,1966,TA,1228,1228,149350
33,RL,11049,8,5,2007,Gd,1234,1234,179900
34,RL,10552,5,5,1959,TA,1398,1700,165500
35,RL,7313,9,5,2005,Ex,1561,1561,277500
36,RL,13418,8,5,2004,Gd,1117,2452,309000
37,RL,10859,5,5,1994,TA,1097,1097,145000
38,RL,8532,5,6,1954,TA,1297,1297,153000
39,RL,7922,5,7,1953,TA,1057,1057,109000
40,RL,6040,4,5,1955,TA,0,1152,82000
41,RL,8658,6,5,1965,TA,1088,1324,160000
42,RL,16905,5,6,1959,TA,1350,1328,170000
43,RL,9180,5,7,1983,TA,840,884,144000
44,RL,9200,5,6,1975,TA,938,938,130250
45,RL,7945,5,6,1959,TA,1150,1150,141000
46,RL,7658,9,5,2005,Ex,1752,1752,319900
47,RL,12822,7,5,2003,Gd,1434,2149,239686
48,FV,11096,8,5,2006,Gd,1656,1656,249700
49,RM,4456,4,5,1920,TA,736,1452,113000
50,RL,7742,5,7,1966,TA,955,955,127000
51,RL,13869,6,6,1997,TA,794,1470,177000
52,RM,6240,6,6,1934,TA,816,1176,114500
53,RM,8472,5,5,1963,Fa,816,816,110000
54,RL,50271,9,5,1981,Gd,1842,1842,385000
55,RL,7134,5,5,1955,TA,384,1360,130000
56,RL,10175,6,5,1964,TA,1425,1425,180500
57,FV,2645,8,5,1999,Gd,970,1739,172500
58,RL,11645,7,5,2004,Gd,860,1720,196500
59,RL,13682,10,5,2006,Ex,1410,2945,438780
60,RL,7200,5,7,1972,TA,780,780,124900
61,RL,13072,6,5,2004,TA,1158,1158,158000
62,RM,7200,5,7,1920,TA,530,1111,101000
63,RL,6442,8,5,2006,Gd,1370,1370,202500
64,RM,10300,7,6,1921,TA,576,1710,140000
65,RL,9375,7,5,1997,TA,1057,2034,219500
66,RL,9591,8,5,2004,Gd,1143,2473,317000
67,RL,19900,7,5,1970,TA,1947,2207,180000
68,RL,10665,7,5,2003,Gd,1453,1479,226000
69,RM,4608,4,6,1945,TA,747,747,80000
70,RL,15593,7,4,1953,Gd,1304,2287,225000
71,RL,13651,7,6,1973,TA,2223,2223,244000
72,RL,7599,4,6,1982,TA,845,845,129500
73,RL,10141,7,5,1998,TA,832,1718,185000
74,RL,10200,5,7,1954,TA,1086,1086,144900
75,RM,5790,3,6,1915,Gd,840,1605,107400
76,RM,1596,4,5,1973,TA,462,988,91000
77,RL,8475,4,7,1956,TA,952,952,135750
78,RM,8635,5,5,1948,TA,672,1285,127000
79,RL,10778,4,5,1968,TA,1768,1768,136500
80,RM,10440,5,6,1910,TA,440,1230,110000
81,RL,13000,6,6,1968,TA,896,2142,193500
82,RM,4500,6,5,1998,TA,1237,1337,153500
83,RL,10206,8,5,2007,TA,1563,1563,245000
84,RL,8892,5,5,1960,TA,1065,1065,126500
85,RL,8530,7,5,1995,TA,384,1474,168500
86,RL,16059,8,5,1991,Gd,1288,2417,260000
87,RL,11911,6,5,2005,Gd,684,1560,174000
88,FV,3951,6,5,2009,Gd,612,1224,164500
89,C (all),8470,3,2,1915,Fa,1013,1526,85000
90,RL,8070,4,5,1994,TA,990,990,123600
91,RL,7200,4,5,1950,TA,0,1040,109900
92,RL,8500,5,3,1961,TA,1235,1235,98600
93,RL,13360,5,7,1921,TA,876,964,163500
94,C (all),7200,6,6,1910,TA,1214,2291,133900
95,RL,9337,6,5,1997,TA,824,1786,204750
96,RL,9765,6,8,1993,Ex,680,1470,185000
97,RL,10264,7,5,1999,Gd,1588,1588,214000
98,RL,10921,4,5,1965,TA,960,960,94750
99,RL,10625,5,5,1920,TA,458,835,83000
100,RL,9320,4,5,1959,TA,950,1225,128950
101,RL,10603,6,7,1977,TA,1610,1610,205000
102,RL,9206,6,5,1985,Gd,741,1732,178000
103,RL,7018,5,5,1979,TA,0,1535,118964
104,RL,10402,7,5,2009,TA,1226,1226,198900
105,RM,7758,7,4,1931,TA,1040,1818,169500
106,FV,9375,8,5,2003,Gd,1053,1992,250000
107,RM,10800,4,7,1885,TA,641,1047,100000
108,RM,6000,5,5,1948,TA,789,789,115000
109,RM,8500,5,7,1919,TA,793,1517,115000
110,RL,11751,6,6,1977,TA,1844,1844,190000
111,RL,9525,6,4,1954,TA,994,1855,136900
112,RL,7750,7,5,2000,TA,384,1430,180000
113,RL,9965,7,5,2007,Gd,1264,2696,383970
114,RL,21000,6,5,1953,TA,1809,2259,217000
115,RL,7259,6,8,1945,TA,1028,2320,259500
116,FV,3230,6,5,1999,TA,729,1458,176000
117,RL,11616,5,5,1962,TA,1092,1092,139000
118,RL,8536,5,5,2006,TA,1125,1125,155000
119,RL,12376,7,5,1990,TA,1673,3222,320000
120,RL,8461,6,5,2005,Gd,728,1456,163990
121,RL,21453,6,5,1969,TA,938,988,180000
122,RM,6060,4,5,1939,TA,732,1123,100000
123,RL,9464,6,7,1958,TA,1080,1080,136000
124,RL,7892,6,5,1993,Gd,1199,1199,153900
125,RL,17043,6,5,1979,TA,1362,1586,181000
126,RM,6780,6,8,1935,TA,520,754,84500
127,RL,4928,6,5,1976,TA,1078,958,128000
128,RM,4388,5,7,1930,TA,672,840,87000
129,RL,7590,6,5,1966,TA,660,1348,155000
130,RL,8973,5,7,1958,TA,1008,1053,150000
131,RL,14200,7,6,1966,TA,924,2157,226000
132,RL,12224,6,5,2000,Gd,992,2054,244000
133,RL,7388,5,6,1959,TA,1063,1327,150750
134,RL,6853,8,5,2001,Gd,1267,1296,220000
135,RL,10335,5,6,1968,TA,1461,1721,180000
136,RL,10400,7,6,1970,TA,1304,1682,174000
137,RL,10355,5,5,1967,TA,1214,1214,143000
138,RL,11070,7,5,1988,TA,1907,1959,171000
139,RL,9066,8,5,1999,Gd,1004,1852,230000
140,RL,15426,6,5,1997,TA,928,1764,231500
141,RL,10500,4,5,1971,TA,864,864,115000
142,RL,11645,7,5,2005,Gd,1734,1734,260000
143,RL,8520,5,4,1952,TA,910,1385,166000
144,RL,10335,7,5,1999,Gd,1490,1501,204000
145,RM,9100,5,5,1963,TA,1728,1728,125000
146,RM,2522,6,5,2004,Gd,970,1709,130000
147,RM,6120,5,7,1931,TA,715,875,105000
148,RL,9505,7,5,2001,Gd,884,2035,222500
149,RL,7500,7,5,2004,TA,1080,1080,141000
150,RM,6240,5,4,1936,TA,896,1344,115000
151,RL,10356,5,6,1975,TA,969,969,122000
152,RL,13891,8,5,2007,Gd,1710,1710,372402
153,RL,14803,6,5,1971,TA,825,1993,190000
154,RL,13500,6,7,1960,TA,1602,1252,235000
155,RM,11340,6,5,1923,TA,1200,1200,125000
156,RL,9600,6,5,1924,TA,572,1096,79000
157,RL,7200,5,7,1950,TA,0,1040,109500
158,RL,12003,8,5,2009,Gd,774,1968,269500
159,FV,12552,7,5,2004,Gd,991,1947,254900
160,RL,19378,7,5,2005,Gd,1392,2462,320000
161,RL,11120,6,6,1984,TA,1232,1232,162500
162,RL,13688,9,5,2003,Gd,1572,2668,412500
163,RL,12182,7,5,2005,Gd,1541,1541,220000
164,RL,5500,4,6,1956,TA,882,882,103200
165,RM,5400,6,7,1926,TA,1149,1616,152000
166,RL,10106,5,7,1940,TA,644,1355,127500
167,RL,10708,5,5,1955,Gd,1617,1867,190000
168,RL,10562,8,5,2007,Gd,1582,2161,325624
169,RL,8244,7,5,2004,Gd,840,1720,183500
170,RL,16669,8,6,1981,Gd,1686,1707,228000
171,RM,12358,5,6,1941,TA,720,1382,128500
172,RL,31770,6,5,1960,TA,1080,1656,215000
173,RL,5306,7,7,1987,Gd,1064,1767,239000
174,RL,10197,6,5,1961,TA,1362,1362,163000
175,RL,12416,6,5,1986,TA,1606,1651,184000
176,RL,12615,6,7,1950,TA,1202,2158,243000
177,RL,10029,6,5,1988,Gd,1151,2060,211000
178,RL,13650,5,5,1958,Gd,1052,1920,172500
179,RL,17423,9,5,2008,Ex,2216,2234,501837
180,RM,8520,5,6,1923,Gd,968,968,100000
181,FV,2117,6,5,2000,Gd,756,1525,177000
182,RL,7588,7,6,1920,TA,793,1802,200100
183,RL,9060,5,6,1957,TA,0,1340,120000
184,RM,11426,7,5,2003,TA,1362,2082,200000
185,RL,7438,5,8,1908,TA,504,1252,127000
186,RM,22950,10,9,1892,Gd,1107,3608,475000
187,RL,9947,7,5,1990,TA,1188,1217,173000
188,RL,10410,5,7,1916,TA,660,1656,135000
189,RL,7018,5,5,1979,TA,1086,1224,153337
190,RL,4923,8,5,2001,Gd,1593,1593,286000
191,RL,10570,8,8,1932,Gd,853,2727,315000
192,RL,7472,7,9,1972,TA,725,1479,184000
193,RL,9017,7,5,1999,Gd,1431,1431,192000
194,RM,2522,7,5,2004,Gd,970,1709,130000
195,RL,7180,5,7,1972,TA,864,864,127000
196,RL,2280,6,6,1976,TA,855,1456,148500
197,RL,9416,7,5,2007,Ex,1726,1726,311872
198,RL,25419,8,4,1918,Gd,1360,3112,235000
199,RM,5520,6,6,1912,TA,755,2229,104000
200,RL,9591,8,5,2004,Gd,1713,1713,274900
201,RM,8546,4,5,2003,TA,1121,1121,140000
202,RL,10125,6,6,1977,TA,1196,1279,171500
203,RL,7000,6,6,1924,TA,617,1310,112000
204,RM,4438,6,5,2004,Gd,848,848,149000
205,RM,3500,5,7,1947,TA,720,1284,110000
206,RL,11851,7,5,1990,TA,1424,1442,180500
207,RL,13673,5,5,1962,TA,1140,1696,143900
208,RL,12493,4,5,1960,TA,1100,1100,141000
209,RL,14364,7,5,1988,Gd,1157,2062,277000
210,RL,8250,6,7,1964,TA,1092,1092,145000
211,RL,5604,5,6,1925,TA,864,864,98000
212,RL,10420,6,5,2009,TA,1212,1212,186000
213,FV,8640,7,5,2009,TA,900,1852,252678
214,RL,13568,5,5,1995,TA,990,990,156000
215,RL,10900,6,7,1977,TA,689,1392,161750
216,RL,10011,5,6,1957,TA,1070,1236,134450
217,RL,8450,7,5,2004,Gd,1436,1436,210000
218,RM,9906,4,4,1925,TA,686,1328,107000
219,RL,15660,7,9,1939,Gd,798,1954,311500
220,RL,3010,7,5,2005,Gd,1248,1248,167240
221,RL,8990,7,5,2006,Gd,1498,1498,204900
222,RL,8068,6,5,2002,Gd,1010,2267,200000
223,RL,11475,6,6,1975,TA,713,1552,179900
224,RL,10500,4,6,1971,TA,864,864,97000
225,RL,13472,10,5,2003,Ex,2392,2392,386250
226,RM,1680,5,5,1971,TA,630,1302,112000
227,RL,9950,7,5,1995,Gd,1203,2520,290000
228,RM,1869,6,6,1970,TA,483,987,106000
229,RL,8521,5,5,1967,TA,912,912,125000
230,RL,3182,7,5,2005,Gd,1373,1555,192500
231,RL,8760,6,6,1959,TA,1194,1194,148000
232,RL,15138,8,5,1995,Gd,1462,2794,403000
233,RM,1680,6,5,1972,TA,483,987,94500
234,RL,10650,5,6,1976,TA,894,894,128200
235,RL,7851,6,5,2002,Gd,860,1960,216500
236,RM,1680,6,3,1971,TA,483,987,89500
237,RL,8773,7,5,2004,Gd,1414,1414,185500
238,RL,9453,7,7,1993,Gd,996,1744,194500
239,RL,12030,8,5,2007,Ex,1694,1694,318000
240,RL,8741,6,4,1945,TA,735,1487,113000
241,FV,9000,8,5,2008,Gd,1566,1566,262500
242,RM,3880,5,9,1945,TA,686,866,110500
243,RM,5000,5,4,1900,TA,540,1440,79000
244,RL,10762,6,6,1980,TA,626,1217,120000
245,RL,8880,7,5,1994,Gd,948,2110,205000
246,RL,10400,7,5,1988,TA,1845,1872,241500
247,RM,9142,6,8,1910,TA,1020,1928,137000
248,RL,11310,6,5,1954,TA,1367,1375,140000
249,RL,11317,7,5,2003,Gd,840,1668,180000
250,RL,159000,6,7,1958,Gd,1444,2144,277000
251,RL,5350,3,2,1940,TA,728,1306,76500
252,RM,4750,8,5,2006,Gd,1573,1625,235000
253,RL,8366,6,5,2004,Gd,798,1640,173000
254,RL,9350,6,7,1964,TA,1302,1302,158000
255,RL,8400,5,6,1957,TA,1314,1314,145000
256,RL,8738,7,5,1999,Gd,975,2291,230000
257,FV,8791,6,5,2003,Gd,864,1728,207500
258,RL,8814,7,5,2006,Gd,1604,1604,220000
259,RL,12435,7,5,2001,Gd,963,1792,231500
260,RM,12702,5,5,1956,TA,0,882,97000
261,RL,19296,6,5,1962,TA,1362,1382,176000
262,RL,9588,8,5,2007,Gd,1482,2574,276000
263,RL,8471,6,7,1977,TA,506,1212,151000
264,RM,5500,5,7,1929,TA,926,1316,130000
265,RM,5232,5,5,1925,TA,680,764,73000
266,RL,12090,6,6,1981,TA,1422,1422,175500
267,RL,11207,6,5,1997,TA,802,1511,185000
268,RL,8400,5,8,1939,TA,720,2192,179500
269,RM,6900,5,6,1940,TA,740,778,120500
270,RL,7917,6,7,1976,TA,1143,1113,148000
271,FV,10728,8,5,2006,Gd,1095,1939,266000
272,RL,39104,7,7,1954,TA,1385,1363,241500
273,RL,11764,8,7,1999,Gd,1152,2270,290000
274,RL,9600,6,6,1958,TA,1240,1632,139000
275,RL,8314,5,7,1982,TA,816,816,124500
276,RL,7264,7,7,1925,Gd,952,1548,205000
277,RL,9196,7,5,2003,Gd,1560,1560,201000
278,RL,19138,4,5,1951,TA,864,864,141000
279,RL,14450,9,5,2006,Ex,2121,2121,415298
280,RL,10005,7,5,1977,TA,1160,2022,192000
281,RL,11287,7,6,1989,Gd,807,1982,228500
282,FV,7200,6,5,2006,Gd,1262,1262,185000
283,RL,5063,7,5,2007,Gd,1314,1314,207500
284,RL,9612,8,5,2008,Gd,1468,1468,244600
285,RL,8012,6,5,1992,Gd,1575,1575,179200
286,FV,4251,7,5,2006,Gd,625,1250,164700
287,RL,9786,6,7,1962,TA,912,1734,159000
288,RL,8125,4,4,1971,TA,858,858,88000
289,RL,9819,5,5,1967,TA,882,900,122000
290,RL,8730,6,7,1915,TA,698,1396,153575
291,RL,15611,8,5,2006,Gd,1079,1919,233230
292,RL,5687,5,6,1912,TA,780,1716,135900
293,RL,11409,5,4,1949,TA,768,1716,131000
294,RL,16659,7,7,1977,TA,795,2263,235000
295,RL,9600,6,5,1953,TA,1416,1644,167000
296,RL,7937,6,6,1984,TA,1003,1003,142500
297,RM,13710,5,5,1950,TA,910,1558,152000
298,FV,7399,7,5,1997,Gd,975,1950,239000
299,RL,11700,6,6,1968,Gd,702,1743,175000
300,RL,14000,6,8,1950,TA,1092,1152,158500
301,RL,15750,5,5,1953,TA,1165,1336,157000
302,RL,16226,8,5,1998,Gd,1028,2452,267000
303,RL,13704,7,5,2001,Gd,1541,1541,205000
304,RL,9800,5,7,1972,TA,894,894,149900
305,RM,18386,7,9,1880,TA,1470,3493,295000
306,RL,10386,8,5,2004,Gd,2000,2000,305900
307,RL,13474,7,5,1990,Gd,700,2243,225000
308,RM,7920,6,7,1920,TA,319,1406,89500
309,RL,12342,4,5,1940,TA,861,861,82500
310,RL,12378,9,5,2003,Gd,1896,1944,360000
311,RL,7685,6,5,1993,TA,697,1501,165600
312,RL,8000,6,6,1948,TA,972,972,132000
313,RM,7800,5,7,1939,TA,793,1118,119900
314,RL,215245,7,5,1965,TA,2136,2036,375000
315,RM,9600,7,7,1925,TA,728,1641,178000
316,RL,7795,7,5,2004,Gd,716,1432,188500
317,RL,13005,7,7,1980,Gd,845,2353,260000
318,FV,9000,8,5,2006,Gd,1088,1959,270000
319,RL,9900,7,5,1993,Gd,1347,2646,260000
320,RL,14115,7,5,1980,TA,1372,1472,187500
321,RL,16259,9,5,2006,TA,1249,2596,342643
322,RL,12099,8,5,2004,Gd,1136,2468,354000
323,RL,10380,7,5,1986,Gd,1502,2730,301000
324,RM,5820,3,8,1955,TA,1162,1163,126175
325,RL,11275,7,7,1967,Gd,710,2978,242000
326,RM,5000,5,6,1941,TA,720,803,87000
327,RL,10846,8,5,1993,Gd,1719,1719,324000
328,RL,11600,6,5,1960,TA,1383,1383,145250
329,RL,11888,6,6,1916,TA,844,2134,214500
330,RM,6402,5,5,1920,TA,596,1192,78000
331,RL,10624,5,4,1964,TA,1728,1728,119000
332,RL,8176,5,6,1958,TA,1056,1056,139000
333,RL,10655,8,5,2003,Gd,3206,1629,284000
334,RM,8198,7,5,2004,Gd,1358,1358,207000
335,RL,9042,6,5,1998,TA,943,1638,192000
336,RL,164660,5,6,1965,TA,1499,1786,228950
337,RL,14157,9,5,2005,Gd,1922,1922,377426
338,RL,9135,7,5,2002,Gd,1536,1536,214000
339,RL,14145,7,7,1984,Gd,1208,1621,202500
340,RL,12400,6,7,1958,TA,1215,1215,155000
341,RL,14191,8,5,2002,Gd,967,1908,202900
342,RH,8400,4,4,1950,Fa,721,841,82000
343,RL,8544,3,4,1949,TA,0,1040,87500
344,RL,8849,9,5,2005,Ex,1684,1684,266000
345,RM,2592,5,3,1976,TA,536,1112,85000
346,RL,6435,6,5,1939,TA,972,1577,140200
347,RL,12772,6,8,1960,TA,958,958,151500
348,RL,17600,6,5,1960,TA,1478,1478,157500
349,RL,2448,7,5,2003,Gd,764,1626,154000
350,RL,20431,9,5,2005,Ex,1848,2728,437154
351,RL,7820,9,5,2007,Ex,1869,1869,318061
352,RL,5271,7,5,1986,TA,1453,1453,190000
353,RL,9084,5,6,1941,TA,616,1111,95000
354,RM,8520,6,8,1928,TA,624,720,105900
355,RL,8400,6,5,1940,TA,940,1595,140000
356,RL,11249,6,5,1995,Gd,1200,1200,177500
357,RL,9248,6,6,1992,TA,1158,1167,173000
358,RM,4224,5,5,1976,TA,1142,1142,134000
359,RL,6930,5,4,1958,TA,1062,1352,130000
360,RL,12011,8,5,1998,Gd,1086,1924,280000
361,RL,7540,6,6,1978,TA,888,912,156000
362,RL,9144,5,5,1940,TA,883,1505,145000
363,RL,7301,7,5,2003,Gd,0,1922,198500
364,RM,1680,6,8,1972,TA,483,987,118000
365,RL,18800,6,5,1976,TA,796,1574,190000
366,RM,10690,5,7,1920,TA,672,1344,147000
367,RL,9500,6,5,1963,TA,1394,1394,159000
368,RL,9150,6,5,1962,TA,1099,1431,165000
369,RL,7800,5,6,1954,TA,1268,1268,132000
370,RL,9830,5,7,1959,TA,1063,1287,162000
371,RL,8121,6,5,2000,TA,953,1664,172400
372,RL,17120,4,4,1959,TA,0,1588,134432
373,RL,7175,6,5,1984,TA,744,752,125000
374,RL,10634,5,6,1953,TA,608,1319,123000
375,RL,8200,7,5,2003,Gd,847,1928,219500
376,RL,10020,1,1,1922,Fa,683,904,61000
377,RL,8846,5,5,1996,Gd,870,914,148000
378,FV,11143,8,5,2004,Gd,1580,2466,340000
379,RL,11394,9,2,2010,Gd,1856,1856,394432
380,RL,8123,6,5,2000,TA,982,1800,179000
381,RL,5000,5,6,1924,TA,1026,1691,127000
382,FV,7200,7,5,2006,Gd,1293,1301,187750
383,RL,9245,7,5,2006,Gd,939,1797,213500
384,RH,9000,6,3,1928,TA,784,784,76000
385,RL,53107,6,5,1992,Gd,1580,1953,240000
386,RL,3182,8,5,2004,Gd,1256,1269,192000
387,RL,8410,5,3,1910,TA,658,1184,81000
388,RL,7200,6,6,1976,TA,1041,1125,125000
389,RL,9382,7,5,1999,Gd,1468,1479,191000
390,RL,12474,10,5,2007,Ex,1682,2332,426000
391,RL,8405,5,8,1900,TA,861,1367,119000
392,RL,12209,6,5,2001,TA,804,1961,215000
393,RL,8339,5,7,1959,TA,0,882,106500
394,RL,7446,4,5,1941,TA,788,788,100000
395,RL,10134,5,6,1940,TA,735,1034,109000
396,RL,9571,5,6,1956,TA,1144,1144,129000
397,RL,7200,5,5,1972,TA,894,894,123000
398,RL,7590,5,5,1962,TA,864,1812,169500
399,RM,8967,5,2,1920,TA,961,1077,67000
400,FV,8125,7,5,2006,Gd,1092,1550,241000
401,RL,14963,8,5,1996,Gd,1260,1288,245500
402,RL,8767,7,5,2005,Gd,1310,1310,164990
403,RL,10200,5,8,1940,TA,672,672,108000
404,RL,12090,8,5,1998,Gd,1141,2263,258000
405,RL,10364,6,5,1995,TA,806,1572,168000
406,RL,9991,4,4,1976,TA,1281,1620,150000
407,RL,10480,6,5,1936,TA,1064,1639,115000
408,RL,15576,6,7,1915,TA,840,1680,177000
409,RL,14154,7,5,2006,Gd,1063,2172,280000
410,FV,10800,8,5,2007,Gd,1034,2078,339750
411,RL,9571,5,3,1958,TA,1276,1276,60000
412,RL,34650,5,5,1955,TA,1056,1056,145000
413,FV,4403,7,5,2009,Ex,1470,1478,222000
414,RM,8960,5,6,1927,TA,1008,1028,115000
415,RL,11228,7,5,1993,Gd,1080,2097,228000
416,RL,8899,7,5,2007,Gd,1340,1340,181134
417,RL,7844,6,7,1978,TA,672,1400,149500
418,RL,22420,6,6,1918,TA,1370,2624,239000
419,RL,8160,5,6,1940,TA,756,1134,126000
420,RL,8450,5,6,1968,TA,1056,1056,142000
421,RM,7060,7,5,1997,TA,1344,1344,206300
422,RL,16635,6,7,1977,Gd,1602,1602,215000
423,RL,21750,5,5,1954,TA,988,988,113000
424,RL,9200,8,5,1998,Gd,1470,2630,315000
425,RL,9000,6,5,1956,TA,1196,1196,139000
426,RM,3378,7,8,1946,TA,651,1389,135000
427,RL,12800,7,5,1989,Gd,1518,1644,275000
428,RL,8593,4,6,1957,TA,907,907,109008
429,RL,6762,7,5,2007,Gd,1208,1208,195400
430,RL,11457,6,5,1988,TA,1392,1412,175000
431,RM,1680,6,5,1971,TA,483,987,85400
432,RM,5586,6,7,1920,TA,901,1198,79900
433,RM,1920,5,5,1971,TA,765,1365,122500
434,RL,10839,6,5,1997,TA,926,1604,181000
435,RM,1890,4,7,1972,TA,630,630,81000
436,RL,10667,7,6,1996,Gd,799,1661,212000
437,RM,4400,6,8,1920,TA,648,1118,116000
438,RM,6000,6,7,1926,Gd,884,904,119000
439,RL,4280,5,6,1913,TA,440,694,90350
440,RL,12354,6,8,1920,TA,684,1196,110000
441,RL,15431,10,5,2008,Ex,3094,2402,555000
442,RL,12108,4,4,1955,TA,1440,1440,118000
443,RM,6240,5,7,1930,TA,1078,1573,162900
444,RL,3922,7,5,2006,Gd,1258,1258,172500
445,RL,8750,7,5,1994,Gd,915,1908,210000
446,RL,9855,6,5,1956,TA,1436,1689,127500
447,RL,16492,6,6,1966,Gd,1517,1888,190000
448,RL,11214,7,5,1998,Gd,930,1886,199900
449,RM,8600,6,6,1937,TA,780,1376,119500
450,RM,6000,3,7,1948,TA,649,1183,120000
451,RM,5684,6,8,1930,TA,813,813,110000
452,RL,70761,7,5,1975,TA,1533,1533,280000
453,RL,9303,6,5,1996,Gd,872,1756,204000
454,FV,9000,8,5,2008,Gd,768,1590,210000
455,RL,9297,5,5,1976,TA,1728,1728,188000
456,RL,9600,7,6,1973,TA,1242,1242,175500
457,RM,4571,5,5,1916,TA,624,1344,98000
458,RL,53227,4,6,1954,TA,1364,1663,256000
459,RM,5100,8,7,1925,TA,588,1666,161000
460,RL,7015,5,4,1950,TA,709,1203,110000
461,FV,8004,8,5,2009,Gd,832,1935,263435
462,RL,7200,7,9,1936,Gd,560,1135,155000
463,RL,8281,5,5,1965,TA,864,864,62383
464,RL,11988,6,7,1934,TA,715,1660,188700
465,RL,8430,5,5,1978,TA,1040,1040,124000
466,RM,3072,7,5,2004,Gd,1375,1414,178740
467,RL,10628,7,5,1970,TA,1277,1277,167000
468,RL,9480,5,7,1942,TA,728,1644,146500
469,RL,11428,8,5,2006,Gd,1626,1634,250000
470,RL,9291,6,5,1993,Gd,832,1710,187000
471,RL,6820,8,5,1985,Gd,1488,1502,212000
472,RL,11952,7,6,1977,TA,808,1969,190000
473,RM,3675,6,5,2005,TA,547,1072,148000
474,RL,14977,8,5,2006,Gd,1976,1976,440000
475,RL,5330,8,5,2000,Gd,1494,1652,251000
476,RL,8480,5,6,1963,TA,970,970,132500
477,RL,13125,6,5,1997,TA,1478,1493,208900
478,RL,13693,9,5,2006,Ex,2153,2643,380000
479,RL,10637,8,5,2007,Gd,1705,1718,297000
480,RM,5925,4,7,1937,TA,907,1131,89471
481,RL,16033,9,5,2004,Gd,1833,1850,326000
482,RL,11846,9,5,2003,Gd,1792,1792,374000
483,RM,2500,7,8,1915,Gd,910,1826,155000
484,RM,4500,6,5,1998,TA,1216,1216,164000
485,RL,7758,5,7,1962,TA,999,999,132500
486,RL,9600,5,7,1950,Gd,1113,1113,147000
487,RL,10289,5,7,1965,TA,1073,1073,156000
488,RL,12243,5,6,1971,TA,1484,1484,175000
489,RL,10800,5,4,1900,TA,954,2414,160000
490,RM,1526,4,8,1970,TA,630,630,86000
